identity,question,a འདི་ཡང་,b,c,d,correct_ answer
hsc-botany-12-234,"C_{6}H_{12}O_{6} \longrightarrow 2C_{2}H_{5}OH + 2CO_{2} ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་
འ་ནི་གནས་སྟངས་འདི་ སྐྱེ་ལྡན་རིག་པ་ནང་ལུ་ ག་དེ་སྦེ་འགྱོ་དོ་ག་?
C_{6}H_{12}O_{6} \longrightarrow 2C_{2}H_{5}OH + 2CO_{2} ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་ཕྲང་""",ལེཔ་ཏོ་ཊིན་,བཱཌིསི་,རིམ་པ་ཅན་གྱི་ཚིགས་ཏོ་,ཌའི་ལོག་,c
hsc-botany-12-235,གོང་གི་བཀོད་རྒྱ་འདི་,ཇའི་མཱེཇ་,ཟི་གཱོ་ཏིན་,ཕྱོགས་གཅིག་ཁ་ཐུག་,ཁམས་ལོག་སི་སི་བཟོ་མི་ཚིགས་ཚུ་,a
hsc-botany-12-236,i. 2ATP བཟོ་དོ་ཡོདཔ་ཨིན།,གཟུགས་ཁམས་ཀྱི་གཟུགས་ཁར་ཡོད་མི་ ཁམས་ཕྲན་ཚུ་གིས་ གཟུགས་ཁམས་འཕྲོད་བསྟེན་ལུ་ ཐོ་ཕོགཔ་ཨིན་མས།,ཀའི་ནེཇ་,ནད་འབུབ་དང་ ནད་འབུབ་གཞན་ཚུ་,ཆུ་ལྟེ་བའི་གནས་སྟངས་,d
hsc-botany-12-237,༢། ཕྲ་སྲིན་ཚུ་གིས་ ནུས་ཤུགས་བཟོ་དོ་ཡོདཔ་མས།,ཨེ་མ་,Xylem དང་ phloem འདི་ ཟས་བཅུད་ཀྱི་རིགས་ཨིན།,Fumaric Acid འདི་ ཀླད་ཀོར་གྱི་ཨེན་སི་ཊི་ཨིན་,ཀ་བཱོན་,b
hsc-botany-12-238,གསུམ་པ་ Mitochondria འདི་ནང་ལུ་བྱུང་ནུག,ཁ་ཕྱེ་,ཀོ་རེནཊི་,ཀེལ་བཱིན་གྱི་འཁོར་ལོ་,མ་ལི་ཀཨེ་སིཌ་,c
hsc-botany-12-239,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,i དང་ ii,ཝཱལབཱཊི་,ii དང་ iii,ཧེཆི་དང་ཨ་ལཱན་ཅི་གི་འཁོར་ལོ་,d
hsc-botany-12-240,སྔོ་ཚལ་མང་ཤོས་ཅིག་གིས་ ཨོམ་ག་བཟུམ་ཅིག་བཙུགས་ནི་ཡོདཔ་ཨིན་ན?,3,i དང་ iii,ཀེར་ཐིག་,"i, ii,དང་ iii",c
hsc-botany-12-241,ཨོམ་དང་པགས་ཚལ་གྱི་སྒོ་ང་ཚུ་ གཅིག་ཁར་བསྡོམ་པ་ཅིན་ འདི་ག་དེ་སྦེ་སླབ་ནི་ཨིན་ན?,མེ་ག་སོརཔོ་རོལི,4,གཉེན་རྐྱབ་ནི་གི་ཐབས་ཤེས་རྫུས་མ་,ཕྱོགས་གཅིག་ཁ་ཐུག་འབད་མི་,a
hsc-botany-12-242,ཨོམ་འདི་བཙགས་ཚར་བའི་ཤུལ་ལུ་ ག་དེ་སྦེ་འགྱོ་འགྱོཝ་ཨིན་ན?,གཱ་ལི་ཀོ་ལིསི་,ཕྲ་རགས་ཆུང་ཆུང་ཚུ་,སོན་ཚུ་,ཕོ་རྒྱ་དང་ཨམ་སྲུ་བར་ན་གི་གཉེན་རྐྱབ་ནི་,d
hsc-botany-12-243,ནིའུ་ཀཱསི་འདི་ ག་དེ་སྦེ་རང་བགོ་བཤའ་རྐྱབ་འགྱོཝ་ཨིན་ན?,པཱར་ཏེ་ནོ་ཇེ་ནེས་སི་,ཨེས་ཊི་ཊི་ལཱསི་ཀོཔ་ལུ་,ཀ་རི་ཨོ་ཀི་ནེས་སི་,སྐྱེ་བའི་ཨ་ལོ་འདི་,d
hsc-botany-12-244,གཟུགས་ཀྱི་མཐའ་བསྐོར་གྱི་པགས་པ་འདི་ ག་ཅི་ལུ་བརྟེན་ཏེ་ འབྱུང་དོ་ཡོདཔ་ཨིན་ན?,ཕར་གེ་རན་ལུ་,འདོད་ཆགས་ཀྱི་ཐོག་ལས་སྐྱེ་སྐྱོན།,Ground Maristeme འདི་ རྒྱ་མཚོའི་མཐའ་མ་ལུ་ཆགས་ཏེ་ཡོདཔ་ཨིན།,སི་ཊོ་ཀི་ནེས་སི་,d
hsc-botany-12-245,ཉིན་མ་ལུ་འོད་ཟེར་གྱི་ཁྱབ་ཚད་ཀྱི་ཆ་ཤས་ག་དེ་ཅིག་གིས་ གཟུགས་ཁམས་སྲུང་སྐྱོབ་ཀྱི་གློག་ཤུགས་ཐོབ་ཚུགསཔ་ཨིན་ན?,ཨེན་ཟ་མི་གི་འགན་ཁུར་མེན།,ཕོ་མོའི་ནང་འཁོད་ལུ་,དཀར་ཆག་,རྒྱང་མཐོང་གི་བར་ནའི་ས་སྒོ་,b
hsc-botany-12-246,སྐྱེ་ལྡན་སོན་མེད་པའི་ སྔོ་ཚལ་འདི་ནང་ལས་ ག་འདི་འབྱང་ཡོདཔ་ཨིན་ན?,པྲ་མཱེ་ཊ་ཕ་ཡེསི་,དབུགས་གཏོང་ལེན་ཡར་འཕར་འགྱོ་དོ་ཡོདཔ་ཨིན།,ཨོམ་ཕུད་,དཀར་ཆག་,c
hsc-botany-12-247,"stock དང་ ""chemistry"" ཟེར་མི་ཚིག་གཉིས་ཆ་ར་ ག་ལུ་ལག་ལེན་འཐབ་ཡོདཔ་ཨིན་ན?",Ulothrix,མེ་ཊ་ཕེསི་,གིརིཕ་ཊི་ནི་,ལོ་ཐོག་ཚུ་,a
hsc-botany-12-248,མེ་རླུང་གེསི་གི་ས་སྒོ་འདི་ སྦྲགས་སྦྲགས་འབད་ཡོདཔ་དང་ འདི་ཡང་ སྦྲགས་སྦྲགས་འབད་མ་ཚུགསཔ་ཨིན།,i དང་ ii,Pteris,པ་ཀི་ཊིན་,ཐབ་ཚད།,b
hsc-botany-12-249,ཚོད་བསྲེ་བཙོ་ནི་གི་ལཱ་ལུ་ ཤུགས་ཆེ་བའི་ ཨེན་ཇིམ་འདི་ག་ཅི་ཡོདཔ་ཨིན་ན?,ནད་གཞི་སྐྱེ་ནི་,i དང་ iii,ཨི་སོ་མར་ཇེ,ཌའི་ཀ་ནེས་སི་,d
hsc-botany-12-250,འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,ཧཱ་པཱལོཌ་,ནེ་ཀོརསི་སི་,རྩ་བའི་མཐའ་མ་འདི་ ཤ་པགས་ཀྱི་མཐའ་མ་ཨིན།,ཧའི་ཌོ་ཇེ་ནེསི་,a
hsc-botany-12-251,འ་ནི་གྲལ་ལས་ C_4 ཤིང་ཆས་འདི་ག་ཏེ་ཡོདཔ་ཨིན་ན?,ཨོཝཱསི་ \rightarrow ཨེཕ་ཡུལམོ་ \rightarrow ཨེཕ་ཡུལམོ་ \rightarrow ཨེཕ་ཡུལམོ་ \rightarrow ཨེཕ་ཡུལམོ་,བཏོན་གཏང་,ལགཔ་གི་ཚིགས་,གཟུགས་ཀྱི་དབྱིབས་འདི་ ཇི་ལེམ (Xylem) ཨིནམ་དང་ འདི་ཡང་ ཨེན་ཌར་ཀ (Endark) ཨིན།,c
hsc-botany-12-252,ལྡུམ་ར་འདི་ནང་ལུ་ མེ་ཏོག་གི་སྡེ་ཚན་ག་འདི་ཡོདཔ་ཨིན་ན?,ཤིང་འབྲས་,ཨོམ་འདི་ ཨར་ཀི་གོ་ནི་ཨུམ་འདི་ ཨོམ་འདི་ ཨོམ་འདི་ཨིན།,བསྒྱུར་བཅོས་འབདཝ་ཨིན།,དཀར་འབྲུ་,a
hsc-botany-12-253,ལྕགས་རིགས་ཀྱི་རྩ་བ་ལུ་ ཀླད་ཀོར་༦་ལས་ལྷག་སྟེ་ཡོདཔ་ཨིན་,i དང་ ii,ཡར་སེང་འགྱོ་ནུག,ii དང་ iii,ཨེམ་བིརི་ཀེཊ་,d
hsc-botany-12-254,i. ཀུ་ཤུ་,པྲོམོ་རི་སི་ཊེམ་,i དང་ iii,5,"i, ii,དང་ iii",b
hsc-botany-12-255,༢། ཀོ་རེནཊི་,མཆིན་པ་ཁོག་ཁོག་,ཟས་བཅུད་དང་འབྲེལ་བའི་ཚིགས་ཏོ་ཚུ།,ཨིསི་ཊོ་བི་ལཱསི་,6,b
hsc-botany-12-256,གསུམ་པ་ ཀ་ལབ་ཏི།,ཕོསི་ཕོརསི་ཊི་ལཱསི་,ཏྲི་ཀོམ,ཀེ་རེབསི་གི་འཁོར་ལོ་,ཀོ་རཱལ་ཨེ་ཌ་གི་རྩ་བ་,b
hsc-botany-12-257,འོག་གི་ལོ་རྒྱུས་ཚུ་ལས་ག་འདི་བདེན་པ་ཨིན་ན་?,i དང་ ii,གློག་རིག་གི་ཐོག་ལས་ དབུགས་འགུགས་གཏང་ནི་,གཟུགས་ཀྱི་ཡན་ལག་ཚུ་སྐྱེ་ནི་,"i, ii,དང་ iii",d
